transaction_id,customer_id,amount,failure_reason,attempts,customer_type,recovery_score,recovery_risk,priority_score,priority,recommended_action
TXN10000,CUST1099,873.17,TEMPORARY_BANK_ERROR,3,RETURNING,35,LOW,30,LOW,STOP_AND_ESCALATE
TXN10001,CUST1048,7206.46,AUTHENTICATION_FAILURE,2,NEW,40,MEDIUM,45,MEDIUM,CUSTOMER_PROMPT
TXN10002,CUST1130,11866.63,AUTHENTICATION_FAILURE,4,RETURNING,35,LOW,60,MEDIUM,STOP_AND_ESCALATE
TXN10003,CUST1091,7441.78,CARD_EXPIRED,1,LOYAL,60,MEDIUM,60,MEDIUM,CUSTOMER_PROMPT
TXN10004,CUST1053,29807.08,INSUFFICIENT_FUNDS,4,NEW,25,LOW,60,MEDIUM,STOP_AND_ESCALATE
TXN10005,CUST1214,3478.65,CARD_EXPIRED,2,RETURNING,35,LOW,35,LOW,CUSTOMER_PROMPT
TXN10006,CUST1040,1136.5,AUTHENTICATION_FAILURE,1,RETURNING,45,MEDIUM,40,MEDIUM,CUSTOMER_PROMPT
TXN10007,CUST1162,732.29,INSUFFICIENT_FUNDS,3,RETURNING,20,LOW,30,LOW,STOP_AND_ESCALATE
TXN10008,CUST1061,6847.07,CARD_EXPIRED,4,NEW,20,LOW,50,MEDIUM,STOP_AND_ESCALATE
TXN10009,CUST1217,35502.3,TEMPORARY_BANK_ERROR,2,RETURNING,85,HIGH,90,HIGH,RETRY
TXN10010,CUST1240,11617.34,INSUFFICIENT_FUNDS,3,RETURNING,20,LOW,55,MEDIUM,STOP_AND_ESCALATE
TXN10011,CUST1186,46302.66,NETWORK_ERROR,4,RETURNING,45,MEDIUM,70,HIGH,STOP_AND_ESCALATE
TXN10012,CUST1127,9042.86,INSUFFICIENT_FUNDS,4,RETURNING,20,LOW,45,MEDIUM,STOP_AND_ESCALATE
TXN10013,CUST1197,1652.39,INSUFFICIENT_FUNDS,4,RETURNING,15,LOW,30,LOW,STOP_AND_ESCALATE
TXN10014,CUST1112,18884.31,UNKNOWN,2,RETURNING,70,HIGH,70,HIGH,REMINDER
TXN10015,CUST1001,19875.04,TEMPORARY_BANK_ERROR,4,RETURNING,60,MEDIUM,75,HIGH,STOP_AND_ESCALATE
TXN10016,CUST1246,1103.82,TEMPORARY_BANK_ERROR,4,RETURNING,40,MEDIUM,40,MEDIUM,STOP_AND_ESCALATE
TXN10017,CUST1239,19505.5,NETWORK_ERROR,2,LOYAL,100,HIGH,80,HIGH,RETRY
TXN10018,CUST1198,1636.02,TEMPORARY_BANK_ERROR,3,LOYAL,55,MEDIUM,50,MEDIUM,STOP_AND_ESCALATE
TXN10019,CUST1297,7526.81,INSUFFICIENT_FUNDS,1,LOYAL,85,HIGH,80,HIGH,PAYMENT_LINK
TXN10020,CUST1036,663.29,TEMPORARY_BANK_ERROR,4,RETURNING,35,LOW,30,LOW,STOP_AND_ESCALATE
TXN10021,CUST1115,21154.85,CARD_EXPIRED,2,RETURNING,55,MEDIUM,65,MEDIUM,CUSTOMER_PROMPT
TXN10022,CUST1193,3292.87,UNKNOWN,1,NEW,40,MEDIUM,30,LOW,REMINDER
TXN10023,CUST1134,1444.41,INSUFFICIENT_FUNDS,4,NEW,20,LOW,30,LOW,STOP_AND_ESCALATE
TXN10024,CUST1050,31701.61,INSUFFICIENT_FUNDS,2,RETURNING,65,MEDIUM,75,HIGH,PAYMENT_LINK
TXN10025,CUST1146,7048.48,AUTHENTICATION_FAILURE,1,RETURNING,45,MEDIUM,50,MEDIUM,CUSTOMER_PROMPT
TXN10026,CUST1180,8147.66,CARD_EXPIRED,4,LOYAL,30,LOW,55,MEDIUM,STOP_AND_ESCALATE
TXN10027,CUST1222,1229.13,INSUFFICIENT_FUNDS,3,RETURNING,40,MEDIUM,55,MEDIUM,STOP_AND_ESCALATE
TXN10028,CUST1272,9439.2,INSUFFICIENT_FUNDS,3,RETURNING,20,LOW,45,MEDIUM,STOP_AND_ESCALATE
TXN10029,CUST1035,38356.44,INSUFFICIENT_FUNDS,2,RETURNING,50,MEDIUM,70,HIGH,PAYMENT_LINK
TXN10030,CUST1050,7199.06,INSUFFICIENT_FUNDS,2,LOYAL,75,HIGH,70,HIGH,PAYMENT_LINK
TXN10031,CUST1100,6340.61,TEMPORARY_BANK_ERROR,2,LOYAL,80,HIGH,65,MEDIUM,RETRY
TXN10032,CUST1143,1139.04,TEMPORARY_BANK_ERROR,4,RETURNING,40,MEDIUM,40,MEDIUM,STOP_AND_ESCALATE
TXN10033,CUST1116,1955.53,INSUFFICIENT_FUNDS,3,RETURNING,15,LOW,30,LOW,STOP_AND_ESCALATE
TXN10034,CUST1088,344.57,INSUFFICIENT_FUNDS,4,NEW,5,LOW,15,LOW,STOP_AND_ESCALATE
TXN10035,CUST1143,48194.61,AUTHENTICATION_FAILURE,3,RETURNING,40,MEDIUM,85,HIGH,STOP_AND_ESCALATE
TXN10036,CUST1217,484.56,CARD_EXPIRED,4,NEW,15,LOW,20,LOW,STOP_AND_ESCALATE
TXN10037,CUST1179,8454.5,TEMPORARY_BANK_ERROR,2,RETURNING,80,HIGH,60,MEDIUM,RETRY
TXN10038,CUST1159,873.3,TEMPORARY_BANK_ERROR,4,RETURNING,55,MEDIUM,40,MEDIUM,STOP_AND_ESCALATE
TXN10039,CUST1167,1891.41,CARD_EXPIRED,4,RETURNING,30,LOW,50,MEDIUM,STOP_AND_ESCALATE
TXN10040,CUST1263,12774.45,TEMPORARY_BANK_ERROR,3,RETURNING,60,MEDIUM,65,MEDIUM,STOP_AND_ESCALATE
TXN10041,CUST1216,23624.98,NETWORK_ERROR,2,RETURNING,70,HIGH,65,MEDIUM,RETRY
TXN10042,CUST1095,1645.27,UNKNOWN,4,RETURNING,35,LOW,40,MEDIUM,STOP_AND_ESCALATE
TXN10043,CUST1061,812.45,NETWORK_ERROR,1,RETURNING,70,HIGH,40,MEDIUM,RETRY
TXN10044,CUST1283,21905.41,UNKNOWN,3,RETURNING,30,LOW,55,MEDIUM,STOP_AND_ESCALATE
TXN10045,CUST1052,32937.52,INSUFFICIENT_FUNDS,1,NEW,55,MEDIUM,65,MEDIUM,PAYMENT_LINK
TXN10046,CUST1234,8316.16,AUTHENTICATION_FAILURE,1,LOYAL,80,HIGH,80,HIGH,CUSTOMER_PROMPT
TXN10047,CUST1282,9748.25,CARD_EXPIRED,2,RETURNING,40,MEDIUM,50,MEDIUM,CUSTOMER_PROMPT
TXN10048,CUST1216,13393.51,INSUFFICIENT_FUNDS,4,RETURNING,45,MEDIUM,75,HIGH,STOP_AND_ESCALATE
TXN10049,CUST1125,38327.25,NETWORK_ERROR,2,RETURNING,70,HIGH,75,HIGH,RETRY
TXN10050,CUST1189,2090.82,TEMPORARY_BANK_ERROR,1,RETURNING,85,HIGH,50,MEDIUM,RETRY
TXN10051,CUST1148,919.4,CARD_EXPIRED,1,NEW,30,LOW,20,LOW,CUSTOMER_PROMPT
TXN10052,CUST1000,46764.63,AUTHENTICATION_FAILURE,1,RETURNING,65,MEDIUM,85,HIGH,CUSTOMER_PROMPT
TXN10053,CUST1155,1328.6,UNKNOWN,4,LOYAL,55,MEDIUM,55,MEDIUM,STOP_AND_ESCALATE
TXN10054,CUST1144,3357.27,UNKNOWN,4,NEW,10,LOW,20,LOW,STOP_AND_ESCALATE
TXN10055,CUST1009,702.57,CARD_EXPIRED,2,NEW,45,MEDIUM,40,MEDIUM,CUSTOMER_PROMPT
TXN10056,CUST1281,11808.75,CARD_EXPIRED,4,RETURNING,20,LOW,55,MEDIUM,STOP_AND_ESCALATE
TXN10057,CUST1005,884.6,INSUFFICIENT_FUNDS,1,NEW,50,MEDIUM,30,LOW,PAYMENT_LINK
TXN10058,CUST1084,39996.43,NETWORK_ERROR,2,RETURNING,70,HIGH,75,HIGH,RETRY
TXN10059,CUST1071,1009.98,NETWORK_ERROR,4,NEW,45,MEDIUM,45,MEDIUM,STOP_AND_ESCALATE
TXN10060,CUST1250,29048.43,CARD_EXPIRED,4,RETURNING,35,LOW,70,HIGH,STOP_AND_ESCALATE
TXN10061,CUST1251,11151.31,NETWORK_ERROR,3,RETURNING,60,MEDIUM,65,MEDIUM,STOP_AND_ESCALATE
TXN10062,CUST1029,35465.77,NETWORK_ERROR,1,RETURNING,90,HIGH,80,HIGH,RETRY
TXN10063,CUST1261,8898.05,NETWORK_ERROR,4,LOYAL,70,HIGH,70,HIGH,STOP_AND_ESCALATE
TXN10064,CUST1007,35336.03,INSUFFICIENT_FUNDS,4,NEW,10,LOW,50,MEDIUM,STOP_AND_ESCALATE
TXN10065,CUST1004,26466.45,TEMPORARY_BANK_ERROR,2,RETURNING,90,HIGH,90,HIGH,RETRY
TXN10066,CUST1217,4780.61,INSUFFICIENT_FUNDS,2,NEW,50,MEDIUM,45,MEDIUM,PAYMENT_LINK
TXN10067,CUST1291,1441.71,CARD_EXPIRED,3,RETURNING,15,LOW,30,LOW,STOP_AND_ESCALATE
TXN10068,CUST1215,17380.84,AUTHENTICATION_FAILURE,2,RETURNING,45,MEDIUM,60,MEDIUM,CUSTOMER_PROMPT
TXN10069,CUST1273,15909.56,CARD_EXPIRED,3,RETURNING,20,LOW,55,MEDIUM,STOP_AND_ESCALATE
TXN10070,CUST1125,1004.34,TEMPORARY_BANK_ERROR,1,RETURNING,90,HIGH,60,MEDIUM,RETRY
TXN10071,CUST1110,9123.33,AUTHENTICATION_FAILURE,4,RETURNING,15,LOW,40,MEDIUM,STOP_AND_ESCALATE
TXN10072,CUST1228,1540.79,NETWORK_ERROR,2,RETURNING,65,MEDIUM,40,MEDIUM,RETRY
TXN10073,CUST1136,2060.27,TEMPORARY_BANK_ERROR,2,NEW,50,MEDIUM,30,LOW,RETRY
TXN10074,CUST1093,26415.87,UNKNOWN,4,LOYAL,45,MEDIUM,80,HIGH,STOP_AND_ESCALATE
TXN10075,CUST1117,47175.04,INSUFFICIENT_FUNDS,4,RETURNING,35,LOW,70,HIGH,STOP_AND_ESCALATE
TXN10076,CUST1258,39449.89,INSUFFICIENT_FUNDS,1,RETURNING,55,MEDIUM,70,HIGH,PAYMENT_LINK
TXN10077,CUST1100,15376.59,INSUFFICIENT_FUNDS,2,RETURNING,60,MEDIUM,65,MEDIUM,PAYMENT_LINK
TXN10078,CUST1136,2933.45,TEMPORARY_BANK_ERROR,1,RETURNING,70,HIGH,45,MEDIUM,RETRY
TXN10079,CUST1285,5033.45,TEMPORARY_BANK_ERROR,1,NEW,70,HIGH,50,MEDIUM,RETRY
TXN10080,CUST1294,3491.05,INSUFFICIENT_FUNDS,2,RETURNING,45,MEDIUM,40,MEDIUM,PAYMENT_LINK
TXN10081,CUST1103,1483.81,AUTHENTICATION_FAILURE,1,RETURNING,65,MEDIUM,55,MEDIUM,CUSTOMER_PROMPT
TXN10082,CUST1288,27261.13,NETWORK_ERROR,4,RETURNING,45,MEDIUM,70,HIGH,STOP_AND_ESCALATE
TXN10083,CUST1085,9150.25,TEMPORARY_BANK_ERROR,3,RETURNING,60,MEDIUM,65,MEDIUM,STOP_AND_ESCALATE
TXN10084,CUST1156,5951.36,CARD_EXPIRED,4,LOYAL,45,MEDIUM,65,MEDIUM,STOP_AND_ESCALATE
TXN10085,CUST1282,1170.75,AUTHENTICATION_FAILURE,4,RETURNING,30,LOW,40,MEDIUM,STOP_AND_ESCALATE
TXN10086,CUST1140,3452.6,INSUFFICIENT_FUNDS,2,NEW,30,LOW,25,LOW,PAYMENT_LINK
TXN10087,CUST1126,20240.62,UNKNOWN,1,LOYAL,90,HIGH,80,HIGH,REMINDER
TXN10088,CUST1100,6609.73,UNKNOWN,2,NEW,35,LOW,35,LOW,REMINDER
TXN10089,CUST1136,1971.71,AUTHENTICATION_FAILURE,4,RETURNING,15,LOW,30,LOW,STOP_AND_ESCALATE
