transaction_id,customer_id,amount,payment_status,failure_reason,attempts,customer_type,previous_successes,days_since_failure,recovery_action,recovery_status,recovered_amount
TXN10000,CUST1099,873.17,FAILED,TEMPORARY_BANK_ERROR,3,RETURNING,3,10,ESCALATE,ESCALATED,0.0
TXN10001,CUST1048,7206.46,FAILED,AUTHENTICATION_FAILURE,2,NEW,0,5,CUSTOMER_PROMPT,SUCCESS,7206.46
TXN10002,CUST1130,11866.63,FAILED,AUTHENTICATION_FAILURE,4,RETURNING,8,6,ESCALATE,ESCALATED,0.0
TXN10003,CUST1091,7441.78,FAILED,CARD_EXPIRED,1,LOYAL,21,9,CUSTOMER_PROMPT,SUCCESS,7441.78
TXN10004,CUST1053,29807.08,FAILED,INSUFFICIENT_FUNDS,4,NEW,0,3,ESCALATE,ESCALATED,0.0
TXN10005,CUST1214,3478.65,FAILED,CARD_EXPIRED,2,RETURNING,3,14,CUSTOMER_PROMPT,FAILED,0.0
TXN10006,CUST1040,1136.5,FAILED,AUTHENTICATION_FAILURE,1,RETURNING,6,11,CUSTOMER_PROMPT,FAILED,0.0
TXN10007,CUST1162,732.29,FAILED,INSUFFICIENT_FUNDS,3,RETURNING,5,10,ESCALATE,ESCALATED,0.0
TXN10008,CUST1061,6847.07,FAILED,CARD_EXPIRED,4,NEW,2,1,ESCALATE,ESCALATED,0.0
TXN10009,CUST1217,35502.3,FAILED,TEMPORARY_BANK_ERROR,2,RETURNING,4,2,RETRY,FAILED,0.0
TXN10010,CUST1240,11617.34,FAILED,INSUFFICIENT_FUNDS,3,RETURNING,3,14,ESCALATE,ESCALATED,0.0
TXN10011,CUST1186,46302.66,FAILED,NETWORK_ERROR,4,RETURNING,8,12,ESCALATE,ESCALATED,0.0
TXN10012,CUST1127,9042.86,FAILED,INSUFFICIENT_FUNDS,4,RETURNING,7,11,ESCALATE,ESCALATED,0.0
TXN10013,CUST1197,1652.39,FAILED,INSUFFICIENT_FUNDS,4,RETURNING,4,12,ESCALATE,ESCALATED,0.0
TXN10014,CUST1112,18884.31,FAILED,UNKNOWN,2,RETURNING,9,7,REMINDER,FAILED,0.0
TXN10015,CUST1001,19875.04,FAILED,TEMPORARY_BANK_ERROR,4,RETURNING,2,0,ESCALATE,ESCALATED,0.0
TXN10016,CUST1246,1103.82,FAILED,TEMPORARY_BANK_ERROR,4,RETURNING,7,9,ESCALATE,ESCALATED,0.0
TXN10017,CUST1239,19505.5,FAILED,NETWORK_ERROR,2,LOYAL,12,5,RETRY,SUCCESS,19505.5
TXN10018,CUST1198,1636.02,FAILED,TEMPORARY_BANK_ERROR,3,LOYAL,11,14,ESCALATE,ESCALATED,0.0
TXN10019,CUST1297,7526.81,FAILED,INSUFFICIENT_FUNDS,1,LOYAL,18,1,PAYMENT_LINK,FAILED,0.0
TXN10020,CUST1036,663.29,FAILED,TEMPORARY_BANK_ERROR,4,RETURNING,2,13,ESCALATE,ESCALATED,0.0
TXN10021,CUST1115,21154.85,FAILED,CARD_EXPIRED,2,RETURNING,4,7,CUSTOMER_PROMPT,FAILED,0.0
TXN10022,CUST1193,3292.87,FAILED,UNKNOWN,1,NEW,1,12,REMINDER,FAILED,0.0
TXN10023,CUST1134,1444.41,FAILED,INSUFFICIENT_FUNDS,4,NEW,1,7,ESCALATE,ESCALATED,0.0
TXN10024,CUST1050,31701.61,FAILED,INSUFFICIENT_FUNDS,2,RETURNING,8,5,PAYMENT_LINK,FAILED,0.0
TXN10025,CUST1146,7048.48,FAILED,AUTHENTICATION_FAILURE,1,RETURNING,8,11,CUSTOMER_PROMPT,FAILED,0.0
TXN10026,CUST1180,8147.66,FAILED,CARD_EXPIRED,4,LOYAL,28,8,ESCALATE,ESCALATED,0.0
TXN10027,CUST1222,1229.13,FAILED,INSUFFICIENT_FUNDS,3,RETURNING,8,1,ESCALATE,ESCALATED,0.0
TXN10028,CUST1272,9439.2,FAILED,INSUFFICIENT_FUNDS,3,RETURNING,7,10,ESCALATE,ESCALATED,0.0
TXN10029,CUST1035,38356.44,FAILED,INSUFFICIENT_FUNDS,2,RETURNING,8,8,PAYMENT_LINK,FAILED,0.0
TXN10030,CUST1050,7199.06,FAILED,INSUFFICIENT_FUNDS,2,LOYAL,22,6,PAYMENT_LINK,FAILED,0.0
TXN10031,CUST1100,6340.61,FAILED,TEMPORARY_BANK_ERROR,2,LOYAL,24,14,RETRY,SUCCESS,6340.61
TXN10032,CUST1143,1139.04,FAILED,TEMPORARY_BANK_ERROR,4,RETURNING,7,13,ESCALATE,ESCALATED,0.0
TXN10033,CUST1116,1955.53,FAILED,INSUFFICIENT_FUNDS,3,RETURNING,4,9,ESCALATE,RECOVERED,1955.53
TXN10034,CUST1088,344.57,FAILED,INSUFFICIENT_FUNDS,4,NEW,0,13,ESCALATE,ESCALATED,0.0
TXN10035,CUST1143,48194.61,FAILED,AUTHENTICATION_FAILURE,3,RETURNING,6,2,ESCALATE,ESCALATED,0.0
TXN10036,CUST1217,484.56,FAILED,CARD_EXPIRED,4,NEW,1,4,ESCALATE,ESCALATED,0.0
TXN10037,CUST1179,8454.5,FAILED,TEMPORARY_BANK_ERROR,2,RETURNING,8,4,RETRY,FAILED,0.0
TXN10038,CUST1159,873.3,FAILED,TEMPORARY_BANK_ERROR,4,RETURNING,6,6,ESCALATE,ESCALATED,0.0
TXN10039,CUST1167,1891.41,FAILED,CARD_EXPIRED,4,RETURNING,4,2,ESCALATE,ESCALATED,0.0
TXN10040,CUST1263,12774.45,FAILED,TEMPORARY_BANK_ERROR,3,RETURNING,6,6,ESCALATE,ESCALATED,0.0
TXN10041,CUST1216,23624.98,FAILED,NETWORK_ERROR,2,RETURNING,5,12,RETRY,FAILED,0.0
TXN10042,CUST1095,1645.27,FAILED,UNKNOWN,4,RETURNING,4,3,ESCALATE,ESCALATED,0.0
TXN10043,CUST1061,812.45,FAILED,NETWORK_ERROR,1,RETURNING,8,13,RETRY,FAILED,0.0
TXN10044,CUST1283,21905.41,FAILED,UNKNOWN,3,RETURNING,5,11,ESCALATE,ESCALATED,0.0
TXN10045,CUST1052,32937.52,FAILED,INSUFFICIENT_FUNDS,1,NEW,0,3,PAYMENT_LINK,FAILED,0.0
