transaction_id,amount_at_risk,failure_reason,recommended_action,priority,recovery_status,recovered_amount
TXN10000,873.17,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10001,7206.46,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10002,11866.63,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10003,7441.78,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,RECOVERED,7441.78
TXN10004,29807.08,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10005,3478.65,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,RECOVERED,3478.65
TXN10006,1136.5,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,1136.5
TXN10007,732.29,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10008,6847.07,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10009,35502.3,TEMPORARY_BANK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10010,11617.34,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10011,46302.66,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10012,9042.86,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10013,1652.39,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10014,18884.31,UNKNOWN,REMINDER,LOW,FAILED,0.0
TXN10015,19875.04,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10016,1103.82,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10017,19505.5,NETWORK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10018,1636.02,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10019,7526.81,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,7526.81
TXN10020,663.29,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10021,21154.85,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,RECOVERED,21154.85
TXN10022,3292.87,UNKNOWN,REMINDER,LOW,RECOVERED,3292.87
TXN10023,1444.41,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10024,31701.61,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,31701.61
TXN10025,7048.48,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10026,8147.66,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10027,1229.13,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10028,9439.2,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10029,38356.44,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,38356.44
TXN10030,7199.06,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,7199.06
TXN10031,6340.61,TEMPORARY_BANK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10032,1139.04,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10033,1955.53,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10034,344.57,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10035,48194.61,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10036,484.56,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10037,8454.5,TEMPORARY_BANK_ERROR,RETRY,HIGH,RECOVERED,8454.5
TXN10038,873.3,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10039,1891.41,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10040,12774.45,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10041,23624.98,NETWORK_ERROR,RETRY,HIGH,RECOVERED,23624.98
TXN10042,1645.27,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10043,812.45,NETWORK_ERROR,RETRY,MEDIUM,RECOVERED,812.45
TXN10044,21905.41,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10045,32937.52,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10046,8316.16,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,8316.16
TXN10047,9748.25,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10048,13393.51,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10049,38327.25,NETWORK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10050,2090.82,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,RECOVERED,2090.82
TXN10051,919.4,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,RECOVERED,919.4
